日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/08/11,"41,626,419","469,189,475",11.30,11.35,11.20,11.20, 0.00,"8,052"
104/08/12,"39,506,315","442,408,458",11.20,11.30,11.10,11.25,+0.05,"5,649"
104/08/13,"37,414,549","420,562,111",11.30,11.30,11.20,11.20,-0.05,"7,719"
104/08/14,"26,082,048","292,558,358",11.25,11.25,11.20,11.20, 0.00,"5,940"
104/08/17,"19,377,891","216,255,994",11.25,11.25,11.10,11.10,-0.10,"3,735"
104/08/18,"25,374,752","282,282,764",11.10,11.20,11.10,11.15,+0.05,"4,681"
104/08/19,"71,130,117","773,169,081",11.10,11.10,10.70,10.90,-0.25,"11,723"
104/08/20,"32,063,617","348,518,758",10.80,11.00,10.75,10.85,-0.05,"6,385"
104/08/21,"71,699,352","758,312,191",10.70,10.75,10.40,10.40,-0.45,"11,153"
104/08/24,"86,095,945","869,002,067",10.20,10.30,9.92,10.05,-0.35,"12,687"
104/08/25,"58,326,694","607,360,946",10.10,10.60,10.10,10.45,+0.40,"9,030"
104/08/26,"45,277,814","470,006,939",10.35,10.50,10.20,10.40,-0.05,"6,033"
104/08/27,"37,225,102","393,896,096",10.55,10.65,10.50,10.55,+0.15,"6,578"
104/08/28,"40,703,075","439,088,028",10.70,10.85,10.60,10.80,+0.25,"6,415"
104/08/31,"50,032,913","536,562,188",10.85,10.85,10.60,10.75,-0.05,"5,323"
104/09/01,"36,579,305","390,798,805",10.60,10.80,10.55,10.75, 0.00,"7,616"
104/09/02,"27,751,321","297,358,242",10.65,10.85,10.60,10.80,+0.05,"5,425"
104/09/03,"66,696,266","743,082,377",10.90,11.35,10.80,11.35,+0.55,"11,055"
104/09/04,"36,470,801","406,813,719",11.30,11.35,11.00,11.05,-0.30,"8,191"
104/09/07,"28,819,107","316,250,077",10.95,11.15,10.85,11.00,-0.05,"5,034"
104/09/08,"20,028,294","220,917,466",11.00,11.10,10.90,11.10,+0.10,"4,339"
104/09/09,"72,389,679","825,159,350",11.35,11.55,11.25,11.40,+0.30,"13,235"
104/09/10,"45,010,182","510,761,007",11.30,11.50,11.15,11.50,+0.10,"13,143"
104/09/11,"24,281,366","278,496,839",11.40,11.55,11.35,11.50, 0.00,"5,105"
104/09/14,"26,126,127","299,640,181",11.50,11.60,11.40,11.50, 0.00,"5,075"
104/09/15,"26,565,622","304,909,415",11.50,11.55,11.40,11.45,-0.05,"4,678"
104/09/16,"29,432,185","336,646,636",11.55,11.60,11.35,11.40,-0.05,"5,687"
104/09/17,"41,811,827","481,459,191",11.55,11.60,11.45,11.55,+0.15,"8,351"
104/09/18,"30,325,642","350,223,664",11.55,11.60,11.45,11.60,+0.05,"4,912"
104/09/21,"33,232,694","375,067,597",11.45,11.50,11.20,11.20,-0.40,"6,304"
104/09/22,"33,478,136","376,128,449",11.35,11.35,11.15,11.30,+0.10,"5,791"
104/09/23,"44,213,847","486,760,286",11.10,11.20,10.90,10.95,-0.35,"8,527"
104/09/24,"37,776,682","411,499,472",11.00,11.05,10.80,10.80,-0.15,"6,900"
104/09/25,"31,428,323","341,436,647",10.85,10.95,10.75,10.95,+0.15,"5,133"
104/09/30,"63,361,226","683,869,016",10.70,10.90,10.70,10.80,-0.15,"7,558"
